# External SILT Flow IDs
# Format: flow_name|public_id
# Lines starting with # are comments

# Venezolanos.es (25 IDs)
Venezolanos.es|312c6c57-41b4-475e-a741-bef8ac702739
Venezolanos.es|d6a26448-5164-4d33-8ea9-b0b6d02c3529
Venezolanos.es|e806a046-09f8-45cd-aa16-627ce2c3f828
Venezolanos.es|d3f02b8a-89b9-48c3-8a9f-265343123a8b
Venezolanos.es|63289711-a68f-4146-a8bc-131329107ec4
Venezolanos.es|702339ec-078f-4568-83c6-96a7f663759c
Venezolanos.es|120de5f0-f707-4fce-8747-1927f95bba01
Venezolanos.es|6043b222-f2cf-4b65-bc9e-cd6c0f1200bd
Venezolanos.es|8d323d90-1f47-4df9-8d4f-82857a9fdc26
Venezolanos.es|1ba2e9b2-c9f0-496f-afd3-2e5824596125
Venezolanos.es|8eb5cf10-2de3-432f-b8ad-9f40160391f4
Venezolanos.es|53781134-8f61-4e39-ab1e-97da7ec3c39c
Venezolanos.es|7598d59f-e25d-4c48-bea0-edcd87b5f391
Venezolanos.es|5718bcf7-0340-41da-b254-434eba05bd85
Venezolanos.es|37858971-5742-4bda-acaa-69a652452dee
Venezolanos.es|b98dffdb-c5fb-4808-927e-2ecd569a6e2d
Venezolanos.es|33b95495-fbee-48ab-ad4d-bff7b61803be
Venezolanos.es|cfb5433e-3266-49f6-bd56-b764f227dd8b
Venezolanos.es|52159210-f4ae-4ebe-baf2-3c79fb49178d
Venezolanos.es|d4516d66-3409-48b6-9420-fe45334dbf3a
Venezolanos.es|553d1275-cef9-463f-b9ee-e1fcfd828f9b
Venezolanos.es|1fed506c-f081-4c88-ae37-520ad1486d45
Venezolanos.es|3711753c-ce67-4328-9716-dba606b694b6
Venezolanos.es|b7463c07-d279-4ecd-a225-73a67c6aee94
Venezolanos.es|20c65165-80ba-446a-ae93-10f480ca0d93

# R-CONECTA (93 IDs)
R-CONECTA|dbc7b855-5133-4119-bff7-f27edf12c2f4
R-CONECTA|aa97ce5d-f343-4fe4-9a99-068eaf5fab36
R-CONECTA|2539288b-9361-4823-a297-3102c7a574ca
R-CONECTA|7d19d51b-636f-4376-8335-2305f73c8b5e
